name,g1,g2,g3,market_cap,MAU,funding
nem,L1,POA,,401304981.0,,
vechain,L1,POA,,218975434.0,551,
powerledger,L1,POA,,23002166.0,,35007383.0
yggdrash,L1,POA,,2721273.0,,40000000.0
singularitynet,L1,POA,,19314475.0,967,32850000.0
universa,L1,POA,,6206968.0,,28560000.0
gochain,L1,POA,,7780964.0,,13690000.0
poanetwork,L1,POA,,3235630.0,,
haratoken,L1,POA,,,,5470000.0
telegram,L1,POS,,,,1700000000.0
cosmos,L1,POS,,637648698.0,,17300000.0
tezos,L1,POS,,829478202.0,,232000000.0
qtum,L1,POS,,195510942.0,,17000000.0
orbs,L1,POS,,,,133400000.0
iost,L1,POS,,85193486.0,,31260000.0
polkadot,L1,POS,,,,140000000.0
stratis,L1,POS,,36773738.0,,
ardor,L1,POS,,61535597.0,,
polybius,L1,POS,,4560878.0,,62960000.0
factom,L1,POS,,32701027.0,,
quarkchain,L1,POS,,38367546.0,,20000000.0
wanchain,L1,POS,,28606053.0,,35990000.0
sonm,L1,POS,,4285699.0,597,42000000.0
reddcoin,L1,POS,,41871351.0,,
metahash,L1,POS,,,,35970000.0
cybermiles,L1,POS,,18397417.0,,30880000.0
nxt,L1,POS,,13661181.0,,
pchain,L1,POS,,5461902.0,1635,26670000.0
fetchai,L1,POS,,,,21000000.0
neblio,L1,POS,,8053055.0,,
qlink,L1,POS,,,,19270000.0
clams,L1,POS,,11912917.0,,
substratum,L1,POS,,2554766.0,,13800000.0
peercoin,L1,POS,,7986685.0,,
navcoin,L1,POS,,7674375.0,,
emotiq,L1,POS,,,,
tomocoin,L1,POS,,,,8580000.0
genaronetwork,L1,POS,,4654231.0,,11360000.0
bitbay,L1,POS,,1993929.0,,
blackcoin,L1,POS,,4374048.0,,
lition,L1,POS,,2345646.0,,4900000.0
paytomat,L1,POS,,,1,2310000.0
vsystem,L1,POS,,,,560000.0
chainspace,L1,POS,,,,
codaprotocol,L1,POS,,,,
